"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 24 20:50:26 GMT+07:00 2020","Sun May 24 20:50:35 GMT+07:00 2020","8718","test","test_add_contact","","","","test_contact_add[None: firstnamegMl ; lastname; address]",""
"passed","Sun May 24 20:50:18 GMT+07:00 2020","Sun May 24 20:50:25 GMT+07:00 2020","7196","test","test_add_contact","","","","test_contact_add[None: ; ; ]",""
"passed","Sun May 24 20:51:07 GMT+07:00 2020","Sun May 24 20:51:15 GMT+07:00 2020","8447","test","test_add_contact","","","","test_contact_add[None: firstnameoO; lastnameR e S; addressl7~uc92Hu]",""
"passed","Sun May 24 20:51:20 GMT+07:00 2020","Sun May 24 20:51:22 GMT+07:00 2020","1772","test","test_add_contact","","","","test_contact_add[None: None; None; addressk]",""
"passed","Sun May 24 20:51:17 GMT+07:00 2020","Sun May 24 20:51:19 GMT+07:00 2020","1712","test","test_add_contact","","","","test_contact_add[None: None; lastnamePq[Wu1; None]",""
"passed","Sun May 24 20:50:36 GMT+07:00 2020","Sun May 24 20:50:45 GMT+07:00 2020","8798","test","test_add_contact","","","","test_contact_add[None: firstname/~f; lastnameV2g; addressMM]",""
"passed","Sun May 24 20:50:47 GMT+07:00 2020","Sun May 24 20:50:55 GMT+07:00 2020","8730","test","test_add_contact","","","","test_contact_add[None: firstname~?/w; lastnameipX /4(); addressK]",""
"passed","Sun May 24 20:50:57 GMT+07:00 2020","Sun May 24 20:51:05 GMT+07:00 2020","8442","test","test_add_contact","","","","test_contact_add[None: firstname ; lastname; addressK2Ife4PXXXf]2 a7(]",""
